TV;Radio;Social Media;Influencer;Sales
64;1.607.763.967;2.392.235.948;Mega;2.245.155.382
37;1.540.876.685;1.935.104.705;Macro;1.336.114.088
55;2.083.503.638;3.654.609.898;Mega;1.995.215.959
28;8.907.131.624;391.181.952;Nano;1.013.116.574
58;2.092.488.055;6.059.807.429;Micro;2.073.106.406
44;8.447.034.198;1.086.840.262;Mega;164.238.952
74;2.342.012.989;2.281.383.027;Nano;2.625.986.449
49;1.561.022.141;3.431.273.747;Mega;1.759.628.547
17;161.910.271;2.938.538.282;Macro;5.790.089.101
92;2.707.432.784;776.501.425;Micro;3.266.822.053
45;1.222.453.623;6.078.835.059;Nano;159.171.002
40;2.013.539.246;4.956.791.317;Micro;1.427.437.996
49;1.385.687.212;0.150053364;Nano;1.737.564.969
89;3.472.354.863;6.137.642.552;Macro;3.152.344.468
67;2.863.117.245;9.072.549.075;Mega;2.384.197.656
40;1.881.042.973;0.847597289;Macro;1.398.707.439
88;2.058.313.089;3.181.661.603;Macro;3.122.713.228
14;6.082.044.887;115.443.211;Nano;4.904.490.098
42;6.180.146.182;1.886.427.524;Micro;1.452.658.074
38;1.290.576.954;0.090806236;Micro;1.362.445.207
56;1.297.856.308;1.005.704.299;Macro;2.043.764.128
55;1.576.697.775;3.123.576.476;Nano;1.977.312.739
84;276.452.302;5.916.649.652;Nano;3.009.241.889
85;3.035.464.777;7.753.122.794;Micro;3.056.120.608
67;2.558.280.593;4.020.770.888;Macro;2.386.030.704
17;7.197.847.026;1.394.325.609;Nano;5.949.515.943
22;1.512.646.596;3.792.188.111;Nano;8.680.395.604
10;5.040.121.601;0.704360749;Mega;3.686.056.147
96;2.725.291.238;3.938.099.223;Nano;3.419.124.151
39;1.437.856.572;0.241241209;Macro;1.411.120.057
64;2.281.691.505;6.280.742.013;Micro;2.265.901.704
60;1.309.853.245;5.210.825.936;Micro;2.155.833.592
55;1.237.094.913;0.918581511;Micro;1.946.287.816
57;2.374.241.823;2.585.252.416;Micro;2.064.798.298
56;1.122.170.396;1.626.544.308;Macro;200.347.425
45;1.417.801.327;3.769.634.351;Mega;1.585.393.851
12;6.636.054.358;0.838317446;Micro;4.342.825.766
20;0.34573089;0.787325148;Micro;7.131.864.882
92;2.686.626.542;5.435.402.212;Micro;3.284.437.938
22;4.477.489.767;152.846.934;Nano;7.164.559.408
70;2.285.824.494;6.146.319.119;Macro;2.480.506.236
58;1.677.650.201;0.471002112;Nano;210.880.927
46;1.550.255.633;469.488.484;Macro;1.617.826.384
43;1.551.307.679;1.626.380.158;Mega;1.550.412.374
63;2.217.656.835;768.073.193;Macro;2.234.236.503
47;9.961.821.714;4.068.030.765;Macro;164.214.738
65;2.206.340.243;3.577.571.811;Micro;2.292.522.388
49;8.208.255.183;4.305.739.085;Mega;172.960.982
15;8.592.102.996;4.880.310.779;Mega;5.488.491.943
27;9.406.938.289;4.527.243.502;Micro;9.675.122.632
86;2.066.269.354;2.867.545.084;Macro;3.124.340.082
98;3.422.011.288;4.474.838.371;Mega;3.507.275.252
24;5.117.508.649;2.209.701.443;Mega;8.375.148.225
13;4.782.495.242;1.413.944.986;Micro;4.690.197.979
16;2.075.971.434;1.435.038.997;Micro;524.151.192
23;1.205.716.495;1.448.221.333;Mega;8.412.020.878
43;1.474.315.816;5.086.102.811;Micro;1.526.018.822
71;2.623.145.593;3.893.304.561;Nano;2.528.537.271
18;1.056.114.844;0.748769308;Micro;6.249.807.961
95;3.516.812.138;6.795.153.993;Mega;3.450.030.328
74;281.170.026;5.894.168.882;Micro;2.601.810.487
85;3.227.082.677;1.256.186.655;Nano;3.000.486.748
27;8.643.650.064;3.579.154.088;Mega;99.479.876
24;0.848264479;1.592.571.775;Nano;8.377.156.783
64;1.460.464.647;1.769.477.138;Nano;220.304.746
40;1.048.745.064;2.202.956.943;Micro;1.426.127.026
63;179.879.371;3.817.063.176;Micro;2.229.096.238
36;1.703.355.173;4.427.632.709;Macro;1.309.960.832
24;0.894522052;1.024.989.237;Micro;8.581.164.773
80;2.570.476.151;2.284.896.577;Mega;2.815.414.585
39;1.729.712.291;214.164.632;Nano;1.353.643.958
14;3.443.825.411;0.082932606;Mega;523.609.775
75;324.386.176;4.859.321.808;Micro;2.695.336.088
37;6.128.436.597;1.455.540.155;Mega;1.302.172.702
38;1.784.312.218;2.009.779.488;Micro;1.303.708.814
12;6.233.073.586;3.695.362.555;Macro;4.507.483.438
80;2.619.652.482;5.181.134.485;Mega;2.867.701.102
91;2.492.555.148;4.999.090.743;Mega;3.223.014.359
27;1.494.411.052;1.452.690.809;Nano;986.526.218
75;2.368.041.523;3.618.129.755;Micro;2.663.690.338
41;1.996.957.206;4.491.042.639;Nano;1.482.586.363
20;6.870.163.575;5.127.572.518;Nano;6.969.781.948
11;1.185.393.949;3.008.452.988;Macro;3.770.652.904
67;1.814.052.759;1.952.495.587;Mega;2.391.708.881
82;3.118.586.055;7.488.026.788;Mega;291.314.666
46;1.439.237.842;1.240.397.092;Micro;1.629.001.448
67;1.596.230.199;4.823.873.221;Mega;2.359.387.612
21;8.228.726.375;159.572.773;Mega;7.291.644.672
48;1.583.963.977;5.286.098.271;Mega;1.704.486.331
36;8.338.703.112;145.363.758;Mega;1.332.701.918
95;2.672.353.586;3.600.530.083;Mega;3.339.225.156
73;2.351.262.647;5.371.989.647;Micro;2.658.966.362
64;1.070.299.962;2.756.141.184;Macro;2.317.348.707
25;7.100.091.534;15.936.932;Macro;8.981.015.562
42;6.409.452.082;361.896.382;Mega;1.440.515.004
47;1.754.913.506;35.932.496;Nano;1.661.240.988
81;2.701.392.648;4.050.401.703;Macro;2.847.887.164
37;7.753.853.243;0.646902083;Nano;1.285.775.395
43;2.207.496.465;3.662.349.016;Mega;1.530.649.097
64;1.810.614.293;3.746.012.095;Mega;2.223.419.275
50;242.342.799;3.802.225.298;Nano;1.727.968.154
85;1.792.814.765;2.125.619.697;Mega;3.053.832.807
37;1.482.608.899;5.056.452.865;Mega;1.339.665.006
87;3.678.144.812;5.944.544.971;Micro;3.100.064.665
94;3.922.119.838;1.042.085.288;Mega;3.368.884.053
88;2.832.811.978;24.669.255;Nano;3.130.482.667
10;2.298.248.107;2.435.478.085;Mega;3.359.144.825
24;1.468.411.591;0.975862762;Micro;878.650.301
38;1.125.013.604;318.319.928;Micro;1.345.871.144
99;3.826.367.194;3.918.182.853;Mega;348.837.593
33;2.270.338.207;2.302.985.634;Mega;1.188.740.489
57;2.407.376.287;3.314.484.216;Mega;2.081.833.927
72;1.431.731.074;1.755.859.447;Mega;2.561.705.613
29;1.192.270.713;6.033.385.743;Nano;1.038.744.139
40;2.184.297.247;4.621.465.773;Micro;1.474.245.875
17;5.002.416.953;300.718.727;Micro;5.924.360.112
96;3.316.691.487;4.802.682.588;Mega;345.054.354
46;1.792.129.715;2.374.454.098;Nano;1.674.756.663
57;1.726.553.001;3.183.217.517;Mega;2.056.516.972
36;1.601.664.419;2.893.217.344;Nano;1.261.776.343
42;9.457.616.913;1.857.779.697;Macro;1.508.827.395
90;290.968.972;6.041.618.334;Macro;3.228.363.326
18;825.489.387;3.241.749.256;Macro;6.238.868.798
51;2.069.590.176;7.122.475.601;Nano;179.782.486
28;1.502.799.004;2.260.928.448;Nano;9.477.142.622
44;1.190.949.864;3.863.594.664;Mega;1.522.200.272
18;0.544774758;0.584802079;Micro;6.192.842.166
38;1.206.842.573;0.85156322;Macro;1.332.952.269
65;1.847.026.586;3.450.908.225;Macro;2.304.452.322
33;1.338.002.348;5.391.596.379;Macro;1.136.807.083
74;2.585.526.144;5.046.778.104;Macro;2.609.790.138
21;4.981.465.892;3.017.010.069;Nano;7.536.215.456
74;2.934.550.253;3.295.645.315;Nano;2.620.124.404
40;1.083.821.968;3.212.553.047;Macro;1.433.820.862
94;3.097.274.726;3.950.369.298;Macro;3.366.023.006
75;2.456.962.198;3.306.948.842;Micro;261.289.447
61;1.897.689.884;2.309.437.067;Mega;2.153.913.543
92;3.531.185.933;5.238.633.498;Nano;3.290.311.993
99;3.389.927.206;7.955.180.603;Macro;3.528.999.567
68;2.621.474.469;5.257.853.498;Micro;237.886.004
42;1.999.560.462;4.136.097.691;Macro;1.457.346.993
63;1.652.948.801;3.351.418.583;Micro;2.236.950.619
75;2.880.884.454;673.194.589;Mega;268.791.677
15;1.787.852.819;6.684.451.448;Macro;5.073.559.898
49;2.110.566.879;720.966.175;Mega;1.700.457.399
66;1.892.735.337;7.016.310.108;Nano;2.326.205.345
31;6.900.105.047;0.7423989;Nano;1.118.268.837
56;207.459.852;4.241.658.945;Macro;2.029.861.934
54;2.011.177.512;3.804.180.277;Micro;1.941.291.713
60;1.223.406.316;1.659.737.604;Micro;2.141.917.541
35;5.121.271.546;0.875164961;Mega;1.228.236.586
50;8.412.303.495;3.642.783.793;Micro;1.771.283.951
37;1.442.898.333;0.246283393;Macro;13.129.209
39;1.363.285.082;2.890.436.804;Micro;1.368.019.191
28;1.840.492.335;2.688.172.679;Nano;1.023.886.217
87;2.692.871.169;0.550205659;Macro;3.069.884.652
61;239.098.499;537.298.311;Macro;218.092.673
40;8.588.407.255;3.068.645.816;Micro;1.401.615.469
79;2.750.669.513;7.241.425.458;Macro;2.854.800.485
11;0.216101168;0.753242703;Mega;4.139.651.524
80;2.751.236.249;1.032.765.641;Nano;283.416.972
11;0.491153398;1.505.058.922;Micro;3.493.300.225
94;3.415.861.088;582.074.361;Micro;330.640.837
84;2.504.782.863;3.111.012.701;Micro;2.954.963.766
21;7.046.414.004;0.056054843;Macro;7.207.541.671
16;1.032.754.546;140.656.398;Micro;5.740.985.369
71;2.084.941.338;2.469.887.527;Mega;2.534.622.592
27;0.975331234;0.409356653;Nano;8.880.402.133
59;2.888.785.755;5.388.404.394;Micro;2.073.302.796
22;131.533.711;3.584.616.882;Nano;7.969.777.425
65;2.107.836.064;3.607.061.612;Mega;2.322.761.831
28;3.306.779.995;2.690.659.024;Macro;9.948.425.179
49;1.487.396.622;1.638.303.876;Macro;174.200.192
61;2.000.446.791;6.081.970.669;Mega;2.201.068.272
72;2.468.121.877;6.002.450.357;Nano;2.560.372.024
27;8.158.783.618;1.846.245.517;Macro;1.002.771.075
50;1.239.492.222;0.742938135;Mega;1.769.281.077
79;3.369.096.007;7.889.353.903;Micro;2.796.918.286
57;1.773.126.576;1.135.948.669;Micro;2.001.080.526
49;1.639.876.978;1.569.718.706;Macro;1.713.306.322
20;9.578.543.177;2.141.996.655;Mega;7.231.156.329
59;8.856.135.087;3.232.468.215;Nano;214.291.665
51;1.674.509.293;1.373.291.629;Micro;1.848.950.088
65;2.906.907.952;3.380.965.049;Mega;2.343.780.869
54;942.171.819;0.760326336;Macro;1.900.490.835
30;1.126.567.713;0.144117014;Mega;1.024.712.089
47;9.266.865.633;4.040.010.034;Mega;1.646.380.952
73;2.237.030.589;0.171148051;Nano;2.576.727.806
94;298.950.106;6.500.131.863;Macro;3.337.007.365
10;6.492.418.979;1.307.754.019;Micro;340.463.585
19;2.477.590.756;5.557.077.517;Nano;6.863.176.182
79;1.957.607.017;432.634.078;Macro;2.794.144.408
94;403.813.996;5.407.997.745;Macro;3.314.446.076
65;2.388.150.599;2.832.255.371;Nano;228.577.409
80;3.331.778.758;506.205.685;Micro;2.840.248.239
24;9.255.560.345;3.540.823.973;Micro;8.537.271.907
35;5.785.759.307;3.368.526.918;Mega;1.272.212.975
27;8.720.237.277;105.124.005;Micro;1.006.415.713
98;3.415.632.865;6.982.952.679;Micro;3.478.305.464
45;6.134.131.482;2.619.106.545;Macro;1.603.981.526
29;1.547.539.803;4.828.720.171;Mega;1.063.468.306
100;411.538.091;431.660.016;Macro;353.617.947
99;2.876.670.512;5.585.103.137;Macro;3.523.179.119
16;1.775.660.719;4.547.851.426;Micro;5.540.369.343
51;1.484.955.816;6.545.391.968;Micro;1.816.616.002
66;2.215.855.916;2.197.680.767;Macro;2.343.288.131
41;1.299.793.945;3.006.704.771;Micro;1.473.867.563
35;1.214.629.522;1.992.383.015;Mega;1.229.577.834
99;3.746.822.321;7.194.404.457;Macro;3.494.961.687
15;1.041.031.566;1.834.639.961;Micro;5.178.609.705
99;2.985.251.876;9.316.561.995;Nano;3.534.458.885
72;2.693.997.283;2.332.437.144;Macro;2.571.804.575
15;2.797.290.618;483.886.776;Nano;4.886.115.001
13;3.220.673.901;2.446.239.991;Nano;4.523.135.362
61;1.707.116.687;3.800.921.079;Nano;2.225.963.753
31;9.170.028.162;1.012.183.081;Nano;1.105.825.006
58;152.413.917;0.114189919;Macro;2.091.489.884
16;7.327.697.332;3.236.219.566;Macro;5.813.798.394
54;1.405.805.349;1.497.131.726;Macro;1.957.694.205
90;3.298.908.421;5.114.303.431;Macro;321.266.614
12;0.683476114;0.765877712;Micro;4.357.911.654
59;2.466.295.001;4.291.873.948;Micro;2.091.876.697
17;1.116.675.392;2.370.877.592;Macro;6.348.794.091
60;2.353.730.258;4.940.351.212;Micro;2.139.107.918
17;5.114.304.619;0.260751503;Mega;6.181.393.577
25;6.831.105.212;1.051.652.994;Micro;9.428.890.228
32;401.212.603;0.427108804;Nano;1.122.035.442
47;2.027.755.079;0.747904517;Macro;1.698.875.281
57;2.046.156.446;5.264.913.626;Micro;1.971.858.386
48;1.368.967.669;3.947.498.786;Mega;1.730.984.379
21;1.444.136.866;0.342016761;Micro;7.421.648.745
27;9.569.824.803;2.216.601.931;Mega;9.736.011.862
90;3.655.151.239;9.883.176.364;Mega;317.576.616
23;1.119.933.449;2.024.287.502;Micro;8.437.002.181
18;2.609.402.156;0.055425098;Nano;6.200.526.615
12;2.433.254.458;2.478.694.936;Micro;4.277.124.819
81;2.570.916.199;5.579.523.367;Nano;2.905.860.748
60;2.065.364.197;3.097.761.704;Micro;2.108.924.638
93;2.930.608.808;2.303.326.934;Micro;327.771.081
47;1.885.597.236;2.305.723.529;Micro;1.676.367.081
10;8.939.084.838;1.008.130.201;Micro;3.410.189.493
55;201.870.126;5.001.959.098;Mega;1.976.712.502
78;3.759.808.506;5.780.036.656;Micro;2.770.929.501
80;2.698.790.612;3.081.278.114;Macro;2.847.262.777
95;3.332.069.261;3.488.541.517;Macro;3.409.498.167
51;1.694.974.752;1.348.300.822;Mega;1.760.068.363
70;2.490.507.404;2.458.070.702;Micro;2.494.106.969
83;318.388.312;384.892.856;Micro;2.920.247.067
70;2.074.153.565;451.238.522;Mega;2.435.008.161
92;3.690.254.427;7.630.973.429;Nano;3.262.296.412
71;1.714.796.237;3.407.461.351;Macro;2.559.716.288
16;1.254.786.817;2.389.338.867;Mega;6.038.358.214
89;2.670.268.754;3.575.561.714;Micro;3.159.003.207
61;2.019.729.211;1.344.451.932;Micro;2.147.407.046
51;201.474.308;4.116.821.554;Nano;1.785.935.732
57;2.071.769.224;266.330.205;Micro;2.090.289.496
37;2.004.563.677;37.938.089;Mega;1.322.091.868
16;4.597.245.997;1.669.253.333;Micro;5.607.567.864
17;6.151.246.864;1.483.987.622;Macro;6.076.229.385
43;1.399.501.231;0.845058595;Nano;1.524.241.128
36;7.083.959.569;1.081.620.709;Nano;1.241.332.061
89;2.372.064.054;0.690473124;Mega;3.213.230.185
33;1.610.664.487;0.423792124;Mega;1.164.897.309
98;3.441.226.462;1.939.969.763;Macro;3.523.803.252
16;8.303.409.472;2.058.523.812;Micro;5.287.884.782
60;1.917.142.898;4.820.069.297;Macro;211.203.686
40;1.216.897.263;1.785.034.944;Micro;1.409.139.961
62;1.608.778.914;5.060.162.938;Macro;2.157.297.595
26;1.081.384.681;2.310.877.745;Micro;9.528.065.047
68;2.128.876.131;3.213.254.208;Nano;2.394.136.594
85;2.474.836.655;2.607.544.268;Micro;3.064.206.717
59;1.664.673.559;6.234.787.461;Mega;210.121.506
62;2.493.153.398;5.478.962.155;Nano;2.169.365.271
60;2.111.999.146;5.703.028.235;Macro;2.093.268.298
77;2.885.380.575;6.217.753.837;Micro;2.797.655.483
79;300.181.942;4.184.199.312;Micro;2.835.943.902
58;2.050.407.599;3.431.358.073;Mega;2.089.592.114
100;3.436.913.284;577.397.264;Mega;3.588.975.626
80;239.546.322;3.203.461.356;Micro;28.378.129
15;9.047.571.207;1.340.007.941;Micro;574.053.155
73;2.074.650.679;1.918.559.126;Macro;2.628.661.923
84;3.498.456.952;1.126.042.983;Macro;3.014.931.202
41;9.556.845.464;1.356.011.738;Micro;1.399.053.476
96;29.649.119;509.171.967;Macro;3.431.144.234
97;2.872.454.528;6.334.771.996;Mega;3.481.096.475
59;2.068.293.062;1.912.705.682;Nano;2.092.848.034
60;1.431.611.675;3.134.427.989;Macro;2.154.557.751
49;1.782.159.027;2.732.126.315;Mega;1.758.979.831
23;102.124.244;0.104238928;Micro;8.319.717.896
76;2.445.854.148;4.009.270.923;Nano;266.413.766
38;8.062.971.378;2.409.346.229;Macro;1.323.142.815
24;2.353.887.518;1.093.828.271;Nano;8.169.957.779
83;2.031.568.063;1.682.342.275;Macro;298.706.397
53;1.656.332.672;3.969.570.171;Micro;1.899.324.946
33;8.183.954.068;0.147169499;Nano;1.142.039.293
33;1.933.747.589;0.742523265;Nano;1.140.368.952
93;3.124.781.296;763.806.843;Macro;331.006.228
61;2.269.716.459;6.146.138.462;Micro;2.160.364.765
67;2.150.116.376;2.810.213.152;Mega;2.361.821.108
49;8.283.163.563;1.257.285.088;Mega;1.774.436.895
90;2.040.428.624;2.217.787.717;Nano;3.222.209.951
69;1.702.750.719;3.249.834.162;Nano;2.448.532.522
22;7.789.761.193;0.288511704;Mega;7.985.053.634
55;2.069.486.154;3.953.574.081;Nano;192.682.492
68;1.667.482.871;1.329.460.183;Macro;2.429.898.876
77;2.715.924.867;6.883.559.609;Nano;2.759.579.113
70;2.592.397.364;4.101.003.394;Macro;2.490.485.731
28;1.701.736.977;3.049.292.563;Micro;9.852.768.262
32;1.195.566.454;3.206.331.913;Nano;1.156.169.326
83;360.042.875;6.299.889.469;Nano;2.952.811.812
39;1.643.039.265;0.629930468;Micro;1.402.820.132
94;3.763.339.784;3.593.898.692;Mega;3.378.500.686
39;1.485.751.537;4.283.919.463;Mega;1.429.248.859
48;1.788.145.952;0.076059762;Macro;1.692.278.032
83;2.904.890.683;1.976.047.337;Nano;2.872.446.931
98;3.476.307.368;3.207.630.038;Micro;3.472.449.302
73;2.657.564.178;2.874.401.986;Nano;2.601.839.205
47;1.339.621.739;4.181.491.721;Mega;1.647.607.918
59;1.721.377.371;3.625.658.422;Micro;2.139.776.583
43;1.378.107.412;1.250.244.985;Mega;150.938.614
66;2.344.360.429;3.951.207.434;Mega;2.377.629.107
10;6.171.299.414;2.248.700.745;Mega;3.709.921.372
54;1.381.708.859;2.491.412.135;Mega;1.930.901.217
24;13.022.179;0.776760663;Macro;848.192.448
52;2.082.910.512;3.906.481.634;Nano;1.827.487.325
77;2.759.973.089;5.084.562.862;Mega;2.777.194.554
61;2.021.722.551;6.875.922.114;Nano;2.166.811.536
88;3.886.435.129;2.621.418.947;Nano;3.111.146.946
92;3.029.945.976;5.942.147.048;Nano;3.283.491.751
36;1.653.025.145;2.138.833.994;Mega;1.256.101.586
84;2.601.281.569;3.027.266.611;Macro;3.031.964.247
94;3.126.698.648;5.332.790.413;Mega;339.190.205
91;361.004.354;4.332.061.718;Micro;3.199.056.448
21;111.103.027;1.609.824.309;Nano;8.462.406.262
70;1.875.537.671;4.499.500.158;Micro;2.562.428.753
84;3.018.997.846;343.325.727;Nano;3.020.929.048
24;1.079.356.441;2.557.924.297;Mega;7.926.863.682
83;3.279.010.616;102.437.346;Mega;2.968.122.379
13;7.444.383.355;5.103.530.387;Nano;4.405.096.813
21;7.578.230.065;1.031.606.867;Nano;765.992.176
100;3.173.905.151;653.042.334;Macro;353.251.334
76;2.359.569.776;4.519.114.653;Micro;2.677.402.836
67;3.288.272.902;3.497.704.311;Nano;2.413.945.829
73;2.418.800.586;5.899.739.191;Nano;2.642.218.327
25;1.201.841.398;4.143.639.285;Macro;8.643.456.078
23;1.777.730.935;3.588.287.267;Nano;7.941.889.491
11;8.572.132.356;3.802.582.991;Macro;4.067.745.075
36;2.038.097.787;3.928.353.632;Nano;1.234.259.731
97;3.817.272.809;5.546.782.045;Micro;3.477.659.391
55;1.415.724.514;3.449.239.584;Micro;2.019.961.016
11;2.608.126.516;2.573.891.358;Micro;4.218.314.566
46;2.451.757.273;1.461.142.201;Macro;1.627.823.996
32;3.117.856.352;1.381.985.223;Macro;1.134.593.656
74;2.511.653.866;5.846.600.188;Mega;2.619.747.959
14;1.239.563.737;1.908.127.571;Nano;5.853.156.501
64;2.246.616.939;7.150.085.369;Nano;2.330.154.686
66;2.233.069.931;4.741.691.262;Macro;2.360.814.972
19;3.562.325.119;1.729.921.479;Nano;6.219.423.217
50;2.248.656.303;4.686.640.068;Macro;1.708.145.171
47;2.082.015.775;3.598.794.638;Mega;1.657.856.483
46;1.946.702.048;1.145.521.306;Micro;1.621.521.711
50;1.668.128.451;1.258.518.049;Nano;1.748.039.768
89;3.155.684.861;6.639.293.117;Micro;3.161.769.362
97;3.446.795.513;4.088.163.909;Nano;3.475.891.327
53;5.856.616.799;2.762.125.352;Nano;190.619.282
45;1.544.215.432;1.161.453.302;Macro;1.609.908.055
28;9.812.923.503;0.369971776;Mega;1.014.386.575
53;2.463.674.178;3.396.340.616;Macro;1.868.078.147
78;3.078.263.387;4.327.262.063;Nano;2.736.113.122
93;2.377.163.648;3.688.207.002;Nano;3.348.717.431
100;3.257.274.847;5.430.991.677;Micro;3.553.297.239
10;4.693.662.632;2.156.240.536;Macro;3.456.679.012
45;1.290.064.612;0.843237641;Macro;1.643.390.498
65;2.495.557.114;3.886.572.721;Micro;2.313.658.464
53;1.989.061.645;3.079.466.745;Nano;1.881.511.842
43;689.825.317;0.646096057;Nano;1.543.991.126
28;7.191.053.729;0.032587652;Nano;9.873.333.034
70;2.091.279.178;4.007.210.363;Mega;2.479.036.965
16;8.511.221.137;2.605.974.425;Mega;5.643.314.187
80;2.166.131.793;4.286.278.224;Micro;2.849.795.608
52;1.468.622.497;3.854.732.763;Mega;1.839.145.347
81;2.453.215.154;5.363.193.035;Nano;2.844.296.988
79;2.927.454.206;1.791.240.836;Nano;2.787.830.371
96;2.798.283.498;3.500.553.519;Nano;3.484.377.445
40;1.994.695.027;4.409.942.415;Nano;1.448.765.937
69;2.708.276.724;3.996.892.883;Mega;2.438.078.034
13;1.067.301.036;0.825314156;Macro;4.540.662.239
14;3.047.946.161;0.998475322;Mega;4.648.788.091
70;2.202.797.304;5.556.095.046;Macro;2.479.725.884
67;1.827.604.405;2.348.785.403;Micro;237.759.577
30;2.246.689.109;4.616.527.829;Micro;1.044.446.664
56;1.676.213.505;5.647.998.207;Mega;1.964.379.226
50;2.405.831.736;4.741.096.535;Nano;1.732.842.591
45;1.348.532.605;5.942.775.544;Nano;1.578.814.771
96;310.321.785;2.172.376.019;Mega;3.392.103.946
82;2.653.276.921;4.872.160.564;Mega;2.959.333.467
19;1.368.520.147;2.216.926.901;Macro;6.163.307.421
33;1.658.869.133;2.016.096.817;Macro;1.210.863.531
76;283.134.171;5.173.771.428;Micro;2.663.278.715
67;138.307.792;290.002.924;Mega;2.363.068.542
11;4.952.002.391;7.309.016.168;Macro;4.014.105.417
55;1.029.724.464;136.503.372;Mega;188.667.483
89;3.228.081.447;4.606.427.961;Mega;3.114.335.461
66;3.051.105.176;2.625.733.254;Micro;2.329.948.515
22;1.551.591.041;0.486129113;Macro;8.097.345.703
88;2.671.216.178;5.834.040.145;Mega;3.080.598.456
63;180.716.099;4.009.603.049;Macro;222.395.167
89;1.842.630.998;3.158.669.402;Macro;3.163.148.646
98;3.298.528.869;3.891.731.352;Micro;3.510.535.774
47;7.903.492.524;1.551.582.154;Micro;1.735.896.069
43;1.211.627.058;4.173.004.258;Macro;1.520.483.513
61;2.468.551.263;522.238.047;Macro;2.189.860.804
51;3.089.320.729;7.389.871.572;Micro;1.759.890.313
93;3.253.845.535;5.331.902.545;Macro;333.932.421
37;1.650.000.902;3.138.409.019;Macro;1.307.588.912
21;7.771.726.602;2.075.967.643;Micro;7.339.580.202
42;8.922.966.385;2.254.832.178;Nano;143.856.228
88;2.072.482.281;4.321.570.987;Nano;3.148.295.426
59;2.519.640.177;3.404.124.993;Macro;2.093.645.304
35;7.868.479.803;0.06731754;Mega;1.218.138.666
72;2.266.567.386;5.289.217.664;Micro;2.571.158.759
47;2.238.166.556;2.322.283.907;Mega;1.660.603.064
80;3.220.083.678;5.583.016.234;Micro;28.261.784
26;4.545.110.873;2.852.404.636;Macro;9.301.538.817
51;1.657.349.003;0.928129377;Macro;1.899.203.029
90;1.439.599.154;0.895646184;Nano;3.231.347.398
78;2.811.706.363;428.069.051;Micro;2.787.620.332
70;1.983.350.146;2.169.126.347;Nano;2.475.921.365
77;2.152.322.437;3.905.081.353;Nano;273.467.668
85;3.216.505.613;5.313.501.318;Mega;299.831.784
50;2.905.558.455;6.136.696.879;Macro;1.773.238.903
11;1.003.259.879;0.684486506;Nano;3.869.555.595
73;2.316.628.697;4.273.919.017;Mega;2.576.681.116
26;1.389.189.629;239.359.741;Micro;9.067.791.735
72;256.542.875;6.396.459.843;Mega;2.506.669.444
66;2.580.615.546;5.848.905.295;Micro;2.360.313.106
70;1.441.461.909;1.874.666.304;Mega;2.499.984.974
79;2.854.447.728;4.952.881.046;Nano;277.361.873
76;2.779.645.954;3.915.785.408;Macro;2.703.551.046
21;1.385.032.361;2.900.443.085;Mega;7.383.086.992
49;1.081.167.265;3.056.311.578;Macro;1.745.142.338
90;3.275.641.678;1.581.845.181;Macro;3.217.478.782
15;8.240.898.541;4.207.676.862;Nano;5.481.334.067
27;1.158.423.742;2.547.683.061;Macro;9.549.114.899
24;6.688.832.575;1.043.337.879;Mega;8.399.009.901
28;5.930.538.265;0.861035978;Macro;1.031.628.319
75;2.271.907.633;3.566.563.314;Micro;2.657.948.897
58;1.569.086.872;3.143.849.286;Micro;2.044.063.412
18;1.075.229.268;1.832.885.616;Nano;597.933.953
25;5.717.314.068;0.126471551;Micro;9.103.215.459
43;1.726.923.733;2.668.721.882;Micro;156.493.122
41;15.399.307;1.168.398.986;Mega;1.502.588.494
61;1.151.253.111;2.793.347.914;Macro;220.165.067
11;3.781.891.222;1.888.196.109;Nano;4.163.749.948
46;1.573.424.826;3.670.681.166;Mega;1.604.675.811
42;1.195.627.229;1.748.785.255;Micro;1.489.220.025
77;2.162.079.765;3.571.579.662;Nano;2.715.474.018
78;1.573.486.797;0.509432226;Macro;2.819.068.631
32;7.801.082.015;1.758.760.771;Nano;1.133.989.396
75;2.526.324.859;2.504.473.175;Nano;267.235.998
22;1.090.658.815;0.283125518;Mega;8.050.988.544
79;2.886.285.965;1.487.848.366;Nano;2.831.115.459
49;7.870.960.618;4.867.663.371;Micro;1.761.282.464
66;2.246.543.434;0.283374568;Mega;2.361.719.099
47;9.721.111.207;0.881835115;Macro;1.679.770.283
96;3.809.039.458;4.942.815.974;Macro;3.457.806.832
42;1.605.076.847;1.614.349.914;Macro;1.475.554.217
33;1.252.223.274;0.056339938;Micro;1.190.233.823
40;1.319.401.085;3.892.134.438;Micro;1.399.381.321
69;2.185.879.116;3.273.587.772;Mega;2.467.614.496
50;189.396.793;2.457.398.302;Micro;1.769.729.111
17;1.032.892.552;0.22490442;Micro;6.335.830.561
39;1.437.870.711;2.671.230.095;Micro;1.387.518.293
34;1.884.526.775;6.501.071.139;Micro;1.230.024.932
23;1.598.558.312;6.713.201.271;Macro;8.214.573.955
68;1.989.609.401;3.691.370.434;Nano;2.435.681.539
68;2.949.996.311;3.520.463.252;Mega;242.827.857
49;2.110.940.259;4.247.449.589;Macro;1.711.891.551
30;1.055.302.912;0.818136405;Macro;1.052.992.687
